signal_id,signal_name,engine,source_lines,creation_condition,appears_intrabar,confirmation_point,can_disappear,can_move,can_change_direction,delay_from_cause,has_alert,persists_after_reload,user_facing_wording,repaint_class,required_test
S-01,C2 closure label,Fractal Model,1268-1356,Closed HTF bar sweeps prior HTF bar extreme and closes back inside,Yes (redrawn every tick on last bar),HTF bar close of the C2 candle,Yes - whole layer cleared and redrawn each tick,Yes - x position is a projection offset from bar_index,No,None once the C2 HTF bar has closed,No,No - recomputed from arr_* each load,C2,By design (R-02),T-01
S-02,C3 follow-through label,Fractal Model,1347-1352,Candle after C2 does not violate C2 extreme,Yes,HTF bar close of the C3 candle,Yes,Yes,Yes - fail_c3 flips color/visibility,Up to one HTF bar,No,No,C3,Provisional (R-03),T-06
S-03,C4 follow-through label,Fractal Model,1353-1358,Candle after C3 does not violate C3 extreme,Yes,HTF bar close of the C4 candle,Yes,Yes,Yes - fail_c4 flips color,Up to two HTF bars,No,No,C4,Provisional (R-03),T-06
S-04,C1 sweep line,Fractal Model,1324-1330,C2 setup valid and not fail_c3/fail_c4,Yes,With C2,Yes - removed when C3/C4 fail,Yes,No,Same as C2,No,No,(line only),Provisional (R-03),T-06
S-05,T-Spot,Fractal Model,1339-1344,Drawn for C2 and for C3/C4 when follow-through holds,Yes,With its candle,Yes,Yes,No,Same as parent candle,No,No,T-Spot,Provisional,T-01
S-06,Standard-deviation projections,Fractal Model,1335-1337,show_follow_through true,Yes,With C2,Yes,Yes,No,Same as C2,No,No,(projection lines),Provisional,T-01
S-07,HTF equilibrium (CE) line,Fractal Model,1367-1384,Every projected HTF candle,Yes,Index 0 line moves until HTF close,Yes,Yes,No,None,No,No,CE,Provisional for index 0,T-02
S-08,HTF projected candles,Fractal Model,1216-1236,Always when not hidden,Yes,Index 0 updates each tick,Yes,Yes,n/a,None,No,No,(strip),Provisional for index 0 (R-09),T-02
S-09,HH/HL/LH/LL markers,Market structure,1431-1450,ta.pivothigh/low(leftLen,rightLen),No,rightLen bars after the pivot bar,No,No,No,rightLen bars,No,Yes,HH/HL/LH/LL,Not repainting; drawn retroactively (R-04),T-03
S-10,SMT divergence line,SMT,926-1050,Pivot on chart vs pivot on pair diverges within smt_pairLagBars,Partially - pair data is live,smt_swingLen bars after the pivot,Only if smt_deleteInvalid enabled (default off),No,No,smt_swingLen bars,No,Yes,SMT (label off by default),Low-impact repaint (R-07),T-07
S-11,BOS line,Breakers (brk_),3265-3300,HTF structure break in trend direction,Yes when mssMode = Body / Wick,Bar close (or wick touch in Body/Wick mode),Yes - line shifted/deleted on continuation,Yes - right edge extends to break time,No,Up to one HTF bar EARLY on history,Yes - alertcondition + alert(),Yes,BOS Bull / BOS Bear,LOOK-AHEAD (R-01) + unconfirmed alert (R-06),T-05
S-12,MSS line,Breakers (brk_),3265-3300,First HTF structure break against prior trend,Yes,Same as S-11,Yes,Yes,Yes - trend flag flips,Same as S-11,Yes - alertcondition + alert(),Yes,MSS Bull / MSS Bear,LOOK-AHEAD (R-01) + unconfirmed alert (R-06),T-05
S-13,Breaker block zone,bb_,3435-3548,Pivot-based breaker with displacement,No,bb_swing bars after pivot,Yes - on mitigation,Yes - box right edge extends,No,bb_swing bars,Yes - alertcondition,Yes,Bullish / Bearish Breaker Block,Not repainting by inspection,T-08
S-14,Breaker + FVG unicorn,bb_,3547-3548,Breaker block overlaps displacement FVG,No,With S-13,Yes,Yes,No,bb_swing bars,Yes - alertcondition,Yes,Bullish / Bearish Unicorn,Not repainting by inspection,T-08
S-15,Unicorn model,uni_,3050-3144,Chart-timeframe swing + FVG confluence,No,uni_swing bars after pivot,Yes,No,No,uni_swing bars,Yes - alertcondition,Yes,Unicorn Bullish / Bearish,Not repainting by inspection,T-08
S-16,GK order block,gk_,2596-2597,OB pattern on chart timeframe,No,Bar close,Yes - on mitigation,Yes,No,None,Yes - alertcondition,Yes,GK Bullish / Bearish OB,Not repainting by inspection,T-10
S-17,GK / ICT FVG,gkf_,3990-3992,3-bar gap,No,Bar close of the third bar,Yes - on fill,Yes,No,2 bars,Yes - alertcondition,Yes,Bullish FVG / Bearish FVG / All FVG,Not repainting by inspection,T-10
S-18,HTF FVG box,hfvg_,3875-3915,3-bar gap on the selected HTF (offsets 1-3),No,HTF bar close,Yes - on mitigation,Yes,No,Up to one HTF bar,No,Yes,HTF FVG,Not repainting - uses offset >= 1,T-10
S-19,CISD trigger,tcisd_,4204-4205,Change in state of delivery on chart timeframe,Unverified,Bar close,Unverified,No,Yes,None,Yes - alertcondition,Yes,Bullish / Bearish CISD Trigger (text off by default),Manual verification required,T-11
S-20,BSL / SSL liquidity level,ts_,4410-4430,Unswept pivot high/low,No,ts_swing_len bars after pivot,Yes - removed when sp.taken becomes true,Yes - right edge follows bar_index,No,ts_swing_len bars,No,No - redrawn on last bar,BSL / SSL,Manual verification required (R-05),T-09
S-21,Turtle Soup sweep,ts_,4432-4455,BSL/SSL taken by wick then close back inside,Yes - evaluated on the live bar,Bar close,Yes - if the intrabar condition reverses,No,No,None,Yes - alert() freq_once_per_bar_close,No,Turtle Soup Sweep (line/label off by default),Manual verification required (R-05),T-09
S-22,Turtle Soup MSS confirmation,ts_,4500-4515,Structure break after a sweep with FVG/iFVG confluence,Yes,Bar close,Yes,No,No,Up to ts_mss_right bars,Yes - alert() freq_once_per_bar_close,No,MSS Confirmed,Manual verification required,T-09
S-23,Turtle Soup entry,ts_,4520-4530,Retest / i-Sweep after MSS,Yes,Bar close,Yes,No,No,Variable,Yes - alert() freq_once_per_bar_close,No,Turtle Soup Entry Confirmed (no arrow drawn),Manual verification required,T-09
S-24,Session H/L lines (Asia/London/NY AM),Sessions,1771-1990,Running high/low of the session window in ET,Yes - extends while the session is open,Session end,Yes - freeze on wick/close through,Yes - extends right,No,None,No,No - redrawn,Asia/London/NY AM H and L,Provisional while the session is open,T-12
S-25,Midnight Open line,Sessions,1784-2010,First bar starting inside 0000-0002 ET,No,Immediate,No,Yes - extends right,No,None,No,No,Midnight Open,Not repainting; may not draw on TFs > 2m (R/F-07),T-14
S-26,8:30 Open line,Sessions,1785-2028,First bar starting inside 0830-0832 ET,No,Immediate,No,Yes,No,None,No,No,8:30 Open,Not repainting; may not draw on TFs > 30m (F-07),T-14
